variable,excess_return,automation,w_capex_intensity,w_rd_intensity,size,book_to_market,profitability,leverage,investment,productivity_channel,efficiency_channel,cost_flexibility_channel
excess_return,1,0.003622686580124098,-0.003666343127304506,-0.00883763239701006,0.013048761995669463,0.02059198716479553,0.024923857036539668,0.0016745018828189491,-0.01984775986164628,0.004570524561418231,0.013621768512463507,0.02496069763787576
automation,0.003622686580124098,1,0.49869472487833083,-0.16360740256703893,0.372211306100845,0.09662529385697359,0.19164479205318083,0.06906495703340969,-0.07366081466022752,0.43926794724472323,-0.22787184159635504,0.043035761084797994
w_capex_intensity,-0.003666343127304506,0.49869472487833083,1,-0.15506393168966526,0.08967037253912959,0.04427313548394306,0.1579580824301717,0.048989985979611496,-0.02863122216445059,0.2115463744566401,0.06257005795303847,0.03253736080151625
w_rd_intensity,-0.00883763239701006,-0.16360740256703893,-0.15506393168966526,1,-0.4068660098710365,-0.11173898500095215,-0.6837815078876798,0.0031258228374736593,0.003692291866333383,-0.15482346639363367,-0.3154624383392382,-0.34291549915968317
size,0.013048761995669463,0.372211306100845,0.08967037253912959,-0.4068660098710365,1,-0.03140153226510146,0.5174120816102391,0.20759684434642298,-0.09994254577842851,0.23918245249685138,0.059534437677352475,0.19685741098396475
book_to_market,0.02059198716479553,0.09662529385697359,0.04427313548394306,-0.11173898500095215,-0.03140153226510146,1,0.038507721504589844,-0.25612761140434354,-0.02220525832212806,0.04976090736800169,-0.02584044277232756,0.007144148873823587
profitability,0.024923857036539668,0.19164479205318083,0.1579580824301717,-0.6837815078876798,0.5174120816102391,0.038507721504589844,1,-0.1275360317263725,-0.11238275545558758,0.1916079736597337,0.3725152681556003,0.43081295317562734
leverage,0.0016745018828189491,0.06906495703340969,0.048989985979611496,0.0031258228374736593,0.20759684434642298,-0.25612761140434354,-0.1275360317263725,1,-0.09836195454206331,0.060817268656074085,0.140252352299088,0.027817702011265582
investment,-0.01984775986164628,-0.07366081466022752,-0.02863122216445059,0.003692291866333383,-0.09994254577842851,-0.02220525832212806,-0.11238275545558758,-0.09836195454206331,1,-0.022909141070349522,-0.15765022338873586,-0.10271002531637036
productivity_channel,0.004570524561418231,0.43926794724472323,0.2115463744566401,-0.15482346639363367,0.23918245249685138,0.04976090736800169,0.1916079736597337,0.060817268656074085,-0.022909141070349522,1,0.1407182401061872,0.08807973990783888
efficiency_channel,0.013621768512463507,-0.22787184159635504,0.06257005795303847,-0.3154624383392382,0.059534437677352475,-0.02584044277232756,0.3725152681556003,0.140252352299088,-0.15765022338873586,0.1407182401061872,1,0.18635561200830106
cost_flexibility_channel,0.02496069763787576,0.043035761084797994,0.03253736080151625,-0.34291549915968317,0.19685741098396475,0.007144148873823587,0.43081295317562734,0.027817702011265582,-0.10271002531637036,0.08807973990783888,0.18635561200830106,1
