Equal Weighted Portfolios,,,,,,,,,,,,
Automation Portfolio,Avg Monthly Excess Return,Annualized Excess Return,SD Monthly Return,Avg No. of Firms,Avg. Automation,,,,,,,
1,0.0077,0.0958,0.0524,298.6637,2.4072,,,,,,,
2,0.0083,0.1045,0.0531,299.0493,3.3247,,,,,,,
3,0.0088,0.1106,0.0452,298.9731,3.8666,,,,,,,
4,0.0088,0.1107,0.0451,298.7758,4.4772,,,,,,,
5,0.0081,0.1018,0.0427,298.3722,6.0428,,,Monthly Robustness Tests,,,,
,,,,,,,,Robustness test,Key variable,Coefficient,Std. Error,Observations
,Annual Robustness Tests,,,,,,,Baseline monthly model,Automation intensity,0.0001,0.0007,"298,821"
,Robustness test,Key variable,Coefficient,Std. Error,Observations,,CAPEX proxy,CAPEX intensity,-0.0365,0.0144,"298,507",
,Annual return model,Automation intensity,0.0058,0.0086,"23,472",,R&D proxy,R&D intensity,0.0123,0.0059,"298,821",
,,,,,,,,Excluding microcaps,Automation intensity,-0.0001,0.0007,"239,359"
,,,,,,,,Post-2010 sample,Automation intensity,0.0001,0.0007,"266,159"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Robustness test,Key variable,Coefficient,Std. Error,Observations
,,,,,,,,Baseline monthly model,Automation intensity,0.0001,0.0007,"298,821"
,,,,,,,,CAPEX proxy,CAPEX intensity,-0.0365,0.0144,"298,507"
,,,,,,,,R&D proxy,R&D intensity,0.0123,0.0059,"298,821"
,,,,,,,,Excluding microcaps,Automation intensity,-0.0001,0.0007,"239,359"
,,,,,,,,Post-2010 sample,Automation intensity,0.0001,0.0007,"266,159"
